NAME_LAT,obl,urban,turnout,untru,Gritsenko,Litvin,Simonenko,Timoshenko,Tigipko,Tyagnibok,Yushchenko,Yanukovich_ratio,Yanukovich,Yatsenyuk,agall,ukrlan,ruslan,ukrpop,ruspop,physical_dist,rail_dist,auto_dist,pop,sqkm,pop2013,citypop2013,ruralpop2013,pop2013average,Population,citypop2013average,ruralpop2013average,pctprofit,Distance,Russian_ratio,Area,Density,Salary,distance_100,density_100,salary_100,population_100,Activism_ratio,Russian_ratio2,ruspop2,cap_arm._first_war,cap_art._first_war,cap_roc._first_war,lost_air._first_war,lost_arm._first_war,lost_art._first_war,lost_roc._first_war,cap_arm._second_war,cap_art._second_war,cap_roc._second_war,lost_air._second_war,lost_arm._second_war,lost_art._second_war,lost_roc._second_war,lost_no_air_all
Debaltsevcka,1,1,0.681231043,0.007638276,0.001842398,0.005603961,0.029209688,0.025793575,0.065980885,0.001612098,0.004529229,0.818216712,81.8216712,0.018155299,0.012743254,0.215,0.773,0.644,0.326,616,738,715,53412,24.31,45759,45759,0,45871,45871,45871,0,74.5,715,0.773,24.31,2197.120527,4057,0.715,0.219712053,0.4057,0.045871,0.681231043,0.597529,0.106276,0,0,0,0,5,1,0,63,10,0,0,33,0,0,39
Dobropilska,1,1,0.651341503,0.011363307,0.003507551,0.006812187,0.044206743,0.059280517,0.083920341,0.00220309,0.009247181,0.720381482,72.0381482,0.028785112,0.018407398,0.393,0.602,0.713,0.259,520,626,694,72817,11.89,63022,62955,67,63274,63274,63206,68,76,694,0.602,11.89,6124.222035,4801,0.694,0.612422204,0.4801,0.063274,0.651341503,0.362404,0.067081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dobropilskyi,1,0,0.736748146,0.012581547,0.002795899,0.011835974,0.065051258,0.064771668,0.0694315,0.00195713,0.010065238,0.707548928,70.7548928,0.031780056,0.011369991,0.886,0.109,0.894,0.089,530.92,626,640.63,20659,950,16331,1899,14432,16477,16477,1903,14574,75,640.63,0.109,950,21.74631579,3397,0.64063,0.002174632,0.3397,0.016477,0.736748146,0.011881,0.007921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dokuchaievska,1,1,0.748062433,0.024030506,0.001798691,0.006331391,0.026764515,0.040146773,0.083027556,0.002302324,0.005899705,0.753363551,75.3363551,0.028203468,0.014965105,0.28,0.715,0.666,0.282,600,897,734,25024,11.9,24455,23668,787,24491,24491,23700,791,69.5,734,0.715,11.9,2102.857143,3263,0.734,0.210285714,0.3263,0.024491,0.748062433,0.511225,0.079524,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Donetska,1,1,0.709146665,0.011316005,0.004256973,0.005428988,0.037261989,0.047288585,0.089783264,0.002313238,0.00701092,0.737997914,73.7997914,0.027718439,0.017418565,0.111,0.878,0.467,0.482,593,801,693,1024678,358,966194,964628,1566,967745,967745,966174,1571,69.3,693,0.878,358,2862.22905,4399,0.693,0.286222905,0.4399,0.967745,0.709146665,0.770884,0.232324,10,0,0,0,25,0,0,6,0,0,0,22,0,1,48
Druzhkivska,1,1,0.670837447,0.007787203,0.005485831,0.005030908,0.054644224,0.043538762,0.066258128,0.001311247,0.005030908,0.763199443,76.3199443,0.024485536,0.014744842,0.35,0.638,0.644,0.322,544,660,634,75006,34,69476,68724,752,69595,69595,68843,752,83,634,0.638,34,2206.058824,3073,0.634,0.220605882,0.3073,0.069595,0.670837447,0.407044,0.103684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dymytrivska,1,1,0.677589176,0.008023526,0.002105722,0.00432036,0.027483299,0.045200407,0.053187627,0.001125472,0.005554749,0.805511182,80.5511182,0.025014522,0.013433053,0.259,0.719,0.642,0.313,544.36,797,675,56702,23,50546,49539,1007,50599,50599,49592,1007,69.9,675,0.719,23,2465.304348,4136,0.675,0.246530435,0.4136,0.050599,0.677589176,0.516961,0.097969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dzerzhynska,1,1,0.649320506,0.007563591,0.001424649,0.004351655,0.038387815,0.035538517,0.044941201,0.001372844,0.005387764,0.819794851,81.9794851,0.019893281,0.012925452,0.213,0.782,0.614,0.361,575,738,671,86281,62,72937,69630,3307,73264,73264,69952,3312,76.9,671,0.782,62,1391.629032,3623,0.671,0.139162903,0.3623,0.073264,0.649320506,0.611524,0.130321,0,0,0,0,1,0,0,0,0,0,0,5,0,0,6
Horlivska,1,1,0.67809029,0.008011677,0.002833479,0.006221764,0.033783784,0.038816676,0.063782991,0.001479485,0.006030224,0.783248791,78.3248791,0.028169665,0.014860902,0.152,0.839,0.514,0.448,593,711,776,312284,422,275116,273052,2064,276116,276116,274046,2070,69.8,776,0.839,422,740.0094787,3243,0.776,0.074000948,0.3243,0.276116,0.67809029,0.703921,0.200704,0,0,0,0,1,0,0,8,3,0,0,3,0,0,4
Khartsyzka,1,1,0.670283241,0.009780579,0.002021206,0.004470633,0.048920025,0.034240592,0.089001559,0.002158236,0.005224302,0.758791388,75.8791388,0.022490194,0.015741423,0.161,0.83,0.524,0.441,614,828,723,113685,19.3,103365,102449,916,103850,103850,102928,922,77.2,723,0.83,19.3,5890.414508,3651,0.723,0.589041451,0.3651,0.10385,0.670283241,0.6889,0.194481,4,0,0,0,6,0,0,0,0,0,0,0,0,0,6
Kirovska,1,1,0.66956977,0.022176416,0.002132348,0.006183808,0.049541545,0.061909162,0.072002275,0.001990191,0.005828417,0.720804606,72.0804606,0.023100434,0.021749947,0.169,0.824,0.542,0.416,623,782,772,31041,7.25,28165,28165,0,28228,28228,28228,0,67.6,772,0.824,7.25,4281.517241,5712,0.772,0.428151724,0.5712,0.028228,0.66956977,0.678976,0.173056,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Kirovsk,2,1,0.649211635,0.007694321,0.001622612,0.005548286,0.082543837,0.052394661,0.053075111,0.000837477,0.006961528,0.750850563,75.0850563,0.021198639,0.010259094,0.203,0.793,0.569,0.407,620.49,862,722,35136,34.96,35995,35676,319,36137,36137,35816,321,63.2,722,0.793,34.96,1005.034325,1219,0.722,0.100503433,0.1219,0.036137,0.649211635,0.628849,0.165649,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
